"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"http://coconutrip.info/","","301","Moved Permanently","Non-Indexable","Redirected"
"https://coconutrip.info/","text/html; charset=utf-8","200","OK","Indexable",""
